average_fitness,max_fitness
0.5867913345086585,0.5964538907963514
0.5907492766242307,0.5966616142819673
0.5930655725944052,0.5966616142819673
0.5945788902803966,0.5966616142819673
0.5945788902803966,0.5966616142819673
0.5948704483108693,0.5966616142819673
0.5948704483108693,0.5966616142819673
0.5948704483108693,0.5966616142819673
0.5954746583311221,0.5966616142819673
0.5954746583311221,0.5966616142819673
0.5954746583311221,0.5966616142819673
0.5954746583311221,0.5966616142819673
0.5959641407767038,0.5966616142819673
0.5959641407767038,0.5966616142819673
0.5966616142819673,0.5966616142819673
0.5966616142819673,0.5966616142819673
0.5966616142819673,0.5966616142819673
0.5966616142819673,0.5966616142819673
0.5966616142819673,0.5966616142819673
0.5966616142819673,0.5966616142819673
