average_fitness,max_fitness
38.71555841653147,48.42230493814439
42.00366177589975,55.253159001347385
48.531558409479864,57.348585651574005
45.6756338473819,57.348585651574005
48.091082151879505,57.348585651574005
48.235710282592485,57.348585651574005
48.30784796892816,59.46004008628905
49.24517274134292,59.46004008628905
48.29940770484272,59.46004008628905
49.00154454058776,59.46004008628905
49.967100403345846,59.46004008628905
48.639147238062314,59.46004008628905
48.466716826362465,59.46004008628905
48.4985847421758,59.46004008628905
46.174559520875405,59.46004008628905
48.328629713250315,92.574723203759
50.36583861711554,100.0
53.20682995794455,100.0
64.15375963012075,100.0
65.07166298253031,100.0
