timestep,avg_payoff
0,57.48161209256809
1,57.48161209256809
2,57.48161209256809
3,57.48161209256809
4,57.48161209256809
5,57.48161209256809
6,57.48161209256809
7,57.48161209256809
8,57.48161209256809
9,57.48161209256809
10,57.48161209256809
11,57.48161209256809
12,57.48161209256809
13,57.48161209256809
14,57.48161209256809
15,57.48161209256809
16,57.48161209256809
17,57.48161209256809
18,57.48161209256809
19,57.48161209256809
20,57.48161209256809
21,57.48161209256809
22,57.48161209256809
23,57.48161209256809
24,57.48161209256809
25,57.48161209256809
26,57.48161209256809
27,57.48161209256809
28,57.48161209256809
29,57.48161209256809
30,57.48161209256809
31,57.48161209256809
32,57.48161209256809
33,57.48161209256809
34,57.48161209256809
35,57.48161209256809
36,57.48161209256809
37,57.48161209256809
38,57.48161209256809
39,57.48161209256809
40,57.48161209256809
41,57.48161209256809
42,57.48161209256809
43,57.48161209256809
44,57.48161209256809
45,57.48161209256809
46,57.48161209256809
47,57.48161209256809
48,57.48161209256809
49,57.48161209256809
50,57.48161209256809
51,57.48161209256809
52,57.48161209256809
53,57.48161209256809
54,57.48161209256809
55,57.48161209256809
56,57.48161209256809
57,57.48161209256809
58,57.48161209256809
59,57.48161209256809
60,57.48161209256809
61,57.48161209256809
62,57.48161209256809
63,57.48161209256809
64,57.48161209256809
65,57.48161209256809
66,57.48161209256809
67,57.48161209256809
68,57.48161209256809
69,57.48161209256809
70,57.48161209256809
71,57.48161209256809
72,57.48161209256809
73,57.48161209256809
74,57.48161209256809
75,57.48161209256809
76,57.48161209256809
77,57.48161209256809
78,57.48161209256809
79,57.48161209256809
80,57.48161209256809
81,57.48161209256809
82,57.48161209256809
83,57.48161209256809
84,57.48161209256809
85,57.48161209256809
86,57.48161209256809
87,57.48161209256809
88,57.48161209256809
89,57.48161209256809
90,57.48161209256809
91,57.48161209256809
92,57.48161209256809
93,57.48161209256809
94,57.48161209256809
95,57.48161209256809
96,57.48161209256809
97,57.48161209256809
98,57.48161209256809
99,57.48161209256809
100,57.48161209256809
